Extraversion,Emotional Stability,Agreeableness,Conscientiousness,Openness
2.3333333333333335,5,4.333333333333333,3,2
5,5,5,5,5
4,3.3333333333333335,4,3.6666666666666665,3.3333333333333335
2.6666666666666665,3.3333333333333335,3.3333333333333335,2.6666666666666665,2.6666666666666665
2,2,3,1.6666666666666667,1.3333333333333333
3,3,3,3,3
2,3.6666666666666665,2.6666666666666665,5,1.3333333333333333
0,0,0,0,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
5,3,1.6666666666666667,5,3,0
0,0,0,0,0,0
5,5,5,5,5,0
0,0,0,0,0,0
0,0,0,0,0,0
5,5,5,5,5,0
1,1,1,1,1,-0.5719
0,0,0,0,0,0.4588
0,0,0,0,0,-0.5719
0,0,0,0,0,0.6369
0,0,0,0,0,0.3612
4.666666666666667,4.333333333333333,4,4.333333333333333,5,0
0,0,0,0,0,0.6369
1,1,0,0,0,0.3612
1,2,1,1,3.6666666666666665,0.7717
3,2,1,3.6666666666666665,2,0.6369
3,4,2,1,4.666666666666667,0.6369
