Extraversion,Emotional Stability,Agreeableness,Conscientiousness,Openness
3.6666666666666665,2.3333333333333335,2.3333333333333335,4,4.666666666666667
1.3333333333333333,2.6666666666666665,1.6666666666666667,3,1.6666666666666667
3,2,3.3333333333333335,4.333333333333333,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3.3333333333333335,2,2,4,4.333333333333333
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,0,0,0,0
2.3333333333333335,2.6666666666666665,2,2,3.6666666666666665
2.3333333333333335,4,2.3333333333333335,3,3.3333333333333335
1,1,1,1,1
5,5,5,5,5
